,county,precinct,sde
0,Lee,FM4B,0.0
1,Lee,KE2B,0.0
2,Lee,HR,0.0
3,Appanoose,CW,0.16
4,Black Hawk,S000,0.40399999999999997
5,Carroll,7,0.22
6,Carroll,12,0.22
7,Cedar,IN,0.3428571428571429
8,Cerro Gordo,FLN,0.35428571428571426
9,Cerro Gordo,LK,0.35428571428571426
10,Cerro Gordo,LCN,0.35428571428571426
11,Cerro Gordo,MSB,0.35428571428571426
12,Cerro Gordo,MV,0.35428571428571426
13,Clay,GFHD,0.18823529411764706
14,Clay,LGGG,0.18823529411764706
15,Clinton,DCGL,0.4428571428571429
16,Clinton,OGCA,0.4428571428571429
17,Dallas,ADS,0.8285714285714286
18,Dallas,COA,0.8285714285714286
19,Dallas,WM322,0.8285714285714286
20,Dickinson,PCT 04,0.25
21,Dickinson,PCT 06,0.25
22,Fremont,RT,0.15
23,Guthrie ,8,0.17142857142857146
24,Harrison,LS,0.18666666666666668
25,Howard,CR1A,0.2857142857142857
26,Howard,RJO,0.2857142857142857
27,Humboldt,H-WV,0.17777777777777778
28,Humboldt,NL-EV,0.17777777777777778
29,Jackson,10,0.3428571428571429
30,Jackson,11,0.3428571428571429
31,Jefferson,BU,0.4363636363636363
32,Jefferson,WLR,0.4363636363636363
33,Johnson,HS,0.81
34,Johnson,LB,0.81
35,Johnson,UN,0.81
36,Kossuth,LV,0.17777777777777778
37,Kossuth,CR 2,0.17777777777777778
38,Linn,HIA03,0.8790697674418605
39,Linn,TCLI,0.8790697674418605
40,Linn,TFAY,0.8790697674418605
41,Linn,TGRA,0.8790697674418605
42,Linn,TJAC,0.8790697674418605
43,Linn,TMAR,0.8790697674418605
44,Linn,TOTT,0.8790697674418605
45,Mills,EM,0.3111111111111111
46,Mitchell,12,0.15
47,O'Brien,P1,0.14545454545454545
48,Plymouth,BV,0.45
49,Polk,DM 048,0.5596002855103498
50,Polk,DM 067,0.5596002855103498
51,Polk,ALLEMAN,0.5596002855103498
52,Polk,DEL 2,0.5596002855103498
53,Polk,WB 1,0.5596002855103498
54,Poweshiek,3,0.28
55,Sac,2,0.13333333333333333
56,Scott,LCT,0.8266666666666667
57,Scott,LG,0.8266666666666667
58,Scott,PV,0.8266666666666667
59,Scott,PR,0.8266666666666667
60,Sioux,PL,0.175
61,Sioux,RD,0.175
62,Story,26,0.83
63,Story,35,0.83
64,Story,41,0.83
65,Story,43,0.83
66,Tama,YK,0.25882352941176473
67,Union,AR,0.15
68,Woodbury,32,0.425
69,Woodbury,34,0.425
70,Woodbury,36,0.425
71,Woodbury,38,0.425
72,Wright,EG1,0.26666666666666666
73,Wright,RURALEG,0.26666666666666666
74,Wright,GLDFLD,0.26666666666666666
75,Allamakee,PCT 3,0.2333333333333333
76,Black Hawk,J200,0.6060000000000001
77,Black Hawk,PH01,0.6060000000000001
78,Black Hawk,R000,0.6060000000000001
79,Boone,MD3,0.5700000000000001
80,Boone,RP3,0.5700000000000001
81,Boone,RP5,0.5700000000000001
82,Bremer,PL,0.6799999999999999
83,Buchanan,MN,0.41052631578947374
84,Calhoun,READING,0.25
85,Calhoun,SHERMAN,0.25
86,Carroll,10,0.33
87,Cedar,FR,0.5142857142857142
88,Cerro Gordo,POD,0.5314285714285714
89,Chickasaw,WA1,0.21
90,Clay,DGPE,0.2823529411764706
91,Clay,LAFR,0.2823529411764706
92,Clinton,BBRD,0.6642857142857143
93,Clinton,ORGM,0.6642857142857143
94,Clinton,SRWH,0.6642857142857143
95,Clinton,WWAW,0.6642857142857143
96,Dallas,AL1,1.2428571428571429
97,Dallas,PY3,1.2428571428571429
98,Dallas,UN,1.2428571428571429
99,Dallas,URB15,1.2428571428571429
100,Dallas,WGG,1.2428571428571429
101,Decatur,DE,0.1411764705882353
102,Emmet,10,0.3428571428571429
103,Guthrie ,7,0.2571428571428571
104,Harrison,JA,0.28
105,Harrison,BO,0.28
106,Harrison,JF,0.28
107,Howard,AL,0.42857142857142855
108,Howard,SHC,0.42857142857142855
109,Howard,NO,0.42857142857142855
110,Humboldt,A-NW,0.26666666666666666
111,Humboldt,D-W-NR,0.26666666666666666
112,Jackson,2,0.5142857142857142
113,Jackson,3,0.5142857142857142
114,Jackson,5,0.5142857142857142
115,Jackson,8,0.5142857142857142
116,Jackson,13,0.5142857142857142
117,Johnson,OX,1.215
118,Johnson,WL,1.215
119,Keokuk,BN,0.3428571428571429
120,Keokuk,SGR,0.3428571428571429
121,Keokuk,WC,0.3428571428571429
122,Mitchell,11,0.225
123,Plymouth,AK,0.675
124,Plymouth,RM,0.675
125,Plymouth,MR,0.675
126,Plymouth,PY,0.675
127,Plymouth,KL,0.675
128,Pocahontas,BV,0.18
129,Polk,DM 034,0.8394004282655247
130,Polk,DM 049,0.8394004282655247
131,Polk,CLAY 1,0.8394004282655247
132,Polk,DOUGLAS,0.8394004282655247
133,Polk,WDM-318,0.8394004282655247
134,Poweshiek,4,0.42
135,Ringgold,TG,0.1125
136,Scott,WC,1.24
137,Sioux,FL,0.2625
138,Sioux,GT,0.2625
139,Sioux,RVW,0.2625
140,Story,24,1.245
141,Story,30,1.245
142,Story,31,1.245
143,Story,32,1.245
144,Story,33,1.245
145,Story,39,1.245
146,Tama,CRONNOC,0.3882352941176471
147,Tama,RL/ST,0.3882352941176471
148,Wapello,DA,0.27
149,Wapello,RL,0.27
150,Warren,JK,0.7
151,Warren,RL,0.7
152,Warren,WHO,0.7
153,Washington,WC,0.5571428571428572
154,Webster,CR,0.25
155,Webster,JO,0.25
156,Woodbury,9,0.6375
157,Woodbury,31,0.6375
158,Allamakee,PCT 1,0.3111111111111111
159,Allamakee,PCT 5,0.3111111111111111
160,Black Hawk,X201,0.8079999999999999
161,Black Hawk,J100,0.8079999999999999
162,Black Hawk,J300,0.8079999999999999
163,Black Hawk,J400,0.8079999999999999
164,Black Hawk,N000,0.8079999999999999
165,Black Hawk,W501,0.8079999999999999
166,Boone,MD1,0.76
167,Boone,MD2,0.76
168,Bremer,LA,0.9066666666666666
169,Bremer,RD,0.9066666666666666
170,Buchanan,BD,0.5473684210526316
171,Buchanan,HT,0.5473684210526316
172,Carroll,9,0.44
173,Carroll,5,0.44
174,Chickasaw,CH,0.28
175,Chickasaw,DA-RD,0.28
176,Chickasaw,JA-UT,0.28
177,Clay,LNCL,0.3764705882352941
178,Clay,WFLT,0.3764705882352941
179,Clinton,DEWT,0.8857142857142857
180,Clinton,ERHA,0.8857142857142857
181,Decatur,BU,0.18823529411764706
182,Decatur,GR,0.18823529411764706
183,Dubuque,35,1.0666666666666669
184,Dubuque,40,1.0666666666666669
185,Emmet,1,0.4571428571428571
186,Emmet,9,0.4571428571428571
187,Franklin,GROC,0.2222222222222222
188,Franklin,WMO,0.2222222222222222
189,Franklin,WRSC,0.2222222222222222
190,Harrison,MR,0.37333333333333335
191,Harrison,WS,0.37333333333333335
192,Jasper,CF-1,0.46
193,Jasper,CF-3,0.46
194,Jasper,EL,0.46
195,Jefferson,FF3,0.8727272727272727
196,Johnson,BG,1.62
197,Johnson,FR,1.62
198,Johnson,SC,1.62
199,Johnson,UH,1.62
200,Keokuk,ER,0.4571428571428571
201,Kossuth,HB,0.3555555555555556
202,Kossuth,PR,0.3555555555555556
203,Kossuth,GF,0.3555555555555556
204,Lee,JF,0.56
205,Lucas,EX,0.2909090909090909
206,Mills,GWR,0.6222222222222222
207,O'Brien,P2,0.2909090909090909
208,Plymouth,HT,0.9
209,Plymouth,LM13,0.9
210,Poweshiek,11,0.56
211,Sioux,LN,0.35
212,Sioux,RVE,0.35
213,Sioux,SCN,0.35
214,Story,17,1.66
215,Tama,CT,0.5176470588235295
216,Tama,HL/IV/T,0.5176470588235295
217,Warren,JF,0.9333333333333332
218,Warren,OT ML,0.9333333333333332
219,Woodbury,11,0.85
220,Woodbury,13,0.85
221,Wright,BIG_6,0.5333333333333333
222,Adams,AD5,0.4285714285714286
223,Allamakee,PCT 8,0.3888888888888889
224,Benton,BP2,0.375
225,Benton,BR,0.375
226,Black Hawk,ALOO,1.01
227,Black Hawk,W403,1.01
228,Black Hawk,W406,1.01
229,Boone,RP1,0.95
230,Bremer,JV,1.1333333333333333
231,Bremer,TR,1.1333333333333333
232,Bremer,WL3,1.1333333333333333
233,Buchanan,AR,0.6842105263157895
234,Buchanan,FB,0.6842105263157895
235,Buchanan,RW,0.6842105263157895
236,Buena Vista,ALNE,1.0
237,Buena Vista,S-M-L-R,1.0
238,Butler,5-AP,0.5833333333333334
239,Butler,8-NH,0.5833333333333334
240,Calhoun,CNLGTGA,0.4166666666666666
241,Carroll,6,0.55
242,Cedar,TT3,0.8571428571428572
243,Cerro Gordo,GN,0.8857142857142857
244,Cherokee,3 QUIM,0.5454545454545454
245,Chickasaw,NHR,0.35000000000000003
246,Clayton,CS,0.8333333333333333
247,Dallas,CL5,2.071428571428572
248,Dallas,URB14,2.071428571428572
249,Dallas,WK4,2.071428571428572
250,Dallas,WK5,2.071428571428572
251,Dallas,WK6,2.071428571428572
252,Dallas,WM222,2.071428571428572
253,Dallas,WM321,2.071428571428572
254,Delaware,CL,0.375
255,Dickinson,PCT 01,0.625
256,Dickinson,PCT 02,0.625
257,Emmet,6,0.5714285714285714
258,Emmet,7,0.5714285714285714
259,Floyd,SCUNPG,0.5555555555555556
260,Franklin,HLLERV,0.2777777777777778
261,Franklin,MA,0.2777777777777778
262,Franklin,OKMG,0.2777777777777778
263,Guthrie ,1,0.4285714285714286
264,Howard,CR3,0.7142857142857142
265,Howard,CR1B,0.7142857142857142
266,Humboldt,DC-GR,0.4444444444444445
267,Jackson,9,0.8571428571428572
268,Jackson,15,0.8571428571428572
269,Jasper,CF-2,0.5750000000000001
270,Jasper,PA,0.5750000000000001
271,Johnson,CV.03,2.0250000000000004
272,Johnson,JE,2.0250000000000004
273,Johnson,JW,2.0250000000000004
274,Kossuth,EG,0.4444444444444445
275,Kossuth,GM,0.4444444444444445
276,Kossuth,BF,0.4444444444444445
277,Lucas,POM,0.3636363636363637
278,Mills,GW1,0.7777777777777778
279,Mills,GW2,0.7777777777777778
280,Mitchell,10,0.375
281,Monona,ON409,0.25
282,Muscatine,FUMO,0.8333333333333333
283,O'Brien,P5,0.3636363636363637
284,O'Brien,P6,0.3636363636363637
285,Story,12,2.075
286,Story,13,2.075
287,Story,18,2.075
288,Tama,H/TL,0.6470588235294118
289,Warren,GR1,1.1666666666666667
290,Warren,IN1,1.1666666666666667
291,Warren,IN3,1.1666666666666667
292,Warren,IN6,1.1666666666666667
293,Washington,BMC,0.9285714285714286
294,Webster,EL,0.4166666666666666
295,Webster,SWYH,0.4166666666666666
